cowcode,ccode,year,legis,newleg,date_h,year_h,month_h,date_s,p_h,p_s,g_h,g_s,coalition,enph,enps,c_h
93,NIC,2015,1,0,2011-11-06T00:00:00Z,2011,11,,0.652173936367035,,0.652173936367035,,0,1.9628940820694,,0.58967387676239
93,NIC,2016,1,0,2011-11-06T00:00:00Z,2011,11,,0.652173936367035,,0.652173936367035,,0,1.9628940820694,,0.58967387676239
93,NIC,2017,1,1,2016-11-06T00:00:00Z,2016,11,,0.77173912525177,,0.77173912525177,,0,1.61280488967896,,0.335403740406036
93,NIC,2018,1,0,2016-11-06T00:00:00Z,2016,11,,0.77173912525177,,0.77173912525177,,0,1.61280488967896,,0.335403740406036
93,NIC,2019,1,0,2016-11-06T00:00:00Z,2016,11,,0.77173912525177,,0.77173912525177,,0,1.61280488967896,,0.335403740406036
93,NIC,2020,1,0,2016-11-06T00:00:00Z,2016,11,,0.77173912525177,,0.77173912525177,,0,1.61280488967896,,0.335403740406036
95,PAN,1925,1,1,1924-07-01T00:00:00Z,1924,7,,0.826086938381195,,0.826086938381195,,0,1.40318298339844,,0.347826063632965
95,PAN,1926,1,0,1924-07-01T00:00:00Z,1924,7,,0.826086938381195,,0.826086938381195,,0,1.40318298339844,,0.347826063632965
95,PAN,1927,1,0,1924-07-01T00:00:00Z,1924,7,,0.826086938381195,,0.826086938381195,,0,1.40318298339844,,0.347826063632965
95,PAN,1928,1,1,1928-08-05T00:00:00Z,1928,8,,0.652173936367035,,0.652173936367035,,0,2.0583655834198,,0.52173912525177
95,PAN,1929,1,0,1928-08-05T00:00:00Z,1928,8,,0.652173936367035,,0.652173936367035,,0,2.0583655834198,,0.52173912525177
95,PAN,1930,1,0,1928-08-05T00:00:00Z,1928,8,,0.652173936367035,,0.652173936367035,,0,2.0583655834198,,0.52173912525177
95,PAN,1931,1,0,1928-08-05T00:00:00Z,1928,8,,0.652173936367035,,0.652173936367035,,0,2.0583655834198,,0.52173912525177
95,PAN,1932,1,1,1932-06-05T00:00:00Z,1932,6,,0.4375,,0.4375,,0,2.97674417495728,,0.819444417953491
95,PAN,1933,1,0,1932-06-05T00:00:00Z,1932,6,,0.4375,,0.4375,,0,2.97674417495728,,0.819444417953491
95,PAN,1934,1,0,1932-06-05T00:00:00Z,1932,6,,0.4375,,0.4375,,0,2.97674417495728,,0.819444417953491
95,PAN,1935,1,0,1932-06-05T00:00:00Z,1932,6,,0.4375,,0.4375,,0,2.97674417495728,,0.819444417953491
95,PAN,1936,1,1,1936-06-07T00:00:00Z,1936,6,,0.28125,,0.5,,1,3.65714287757874,,0.9609375
95,PAN,1937,1,0,1936-06-07T00:00:00Z,1936,6,,0.28125,,0.5,,1,3.65714287757874,,0.9609375
95,PAN,1938,1,0,1936-06-07T00:00:00Z,1936,6,,0.28125,,0.5,,1,3.65714287757874,,0.9609375
95,PAN,1939,1,0,1936-06-07T00:00:00Z,1936,6,,0.28125,,0.5,,1,3.65714287757874,,0.9609375
95,PAN,1940,1,1,1940-06-02T00:00:00Z,1940,6,,0.53125,,0.96875,,1,2.87640452384949,,0.673387110233307
95,PAN,1941,1,0,1940-06-02T00:00:00Z,1940,6,,0,,0.78125,,1,2.87640452384949,,0.819999992847443
95,PAN,1942,1,0,1940-06-02T00:00:00Z,1940,6,,0,,0.78125,,1,2.87640452384949,,0.819999992847443
95,PAN,1943,1,0,1940-06-02T00:00:00Z,1940,6,,0,,0.78125,,1,2.87640452384949,,0.819999992847443
95,PAN,1944,1,0,1940-06-02T00:00:00Z,1940,6,,0,,0.5625,,1,2.87640452384949,,0.868055582046509
95,PAN,1945,1,1,1945-05-05T00:00:00Z,1945,5,,0.156862750649452,,0.882352963089943,,1,5.92482900619507,,0.853159070014954
95,PAN,1946,1,0,1945-05-05T00:00:00Z,1945,5,,0.156862750649452,,0.882352963089943,,1,5.92482900619507,,0.853159070014954
95,PAN,1947,1,0,1945-05-05T00:00:00Z,1945,5,,0.450980395078659,,0.921568632125854,,1,3.15272736549377,,0.698372960090637
95,PAN,1948,1,1,1948-05-09T00:00:00Z,1948,5,,0.404761910438538,,0.404761910438538,,0,3.55645155906677,,0.792380928993225
